epoch,loss,val_loss,mAP,AP_fire,AP_smoke,lr
0,2.3408590743416235,2.299996797855084,0,0,0,0.0010040000000000001
1,0.9156796242061415,0.787841395689891,0.05564648117839607,0.05564648117839607,0.05564648117839607,0.002003
2,0.7180916974593324,0.8036016959410447,0.08251900108577633,0.08251900108577633,0.08251900108577633,0.003002
3,0.6562804318310922,0.6805585233064798,0.1053763440860215,0.1053763440860215,0.1053763440860215,0.004001
4,0.5866351206051675,0.6193455572311695,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.005
5,0.5433795951437532,0.5956642685028223,0.2243713733075435,0.2243713733075435,0.2243713733075435,0.005
6,0.5057337941569194,0.599615814594122,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.005
7,0.501802738734156,0.5810944380668494,0.22090729783037474,0.22090729783037474,0.22090729783037474,0.005
8,0.4708619353018309,0.6062397269102243,0.2355212355212355,0.2355212355212355,0.2355212355212355,0.005
9,0.4549319961527635,0.5466575060899441,0.3324538258575198,0.3324538258575198,0.3324538258575198,0.005
10,0.42015616996595034,0.5581646653322073,0.2485207100591716,0.2485207100591716,0.2485207100591716,0.005
11,0.4116358788389909,0.5853282132974038,0.39365079365079364,0.39365079365079364,0.39365079365079364,0.005
12,0.3831387487245582,0.5947458090690466,0.3857566765578635,0.3857566765578635,0.3857566765578635,0.0005
13,0.3570617743664318,0.5452926583015002,0.3887147335423198,0.3887147335423198,0.3887147335423198,0.0005
14,0.3304692512454345,0.5412782373336645,0.4305555555555556,0.4305555555555556,0.4305555555555556,0.0005
15,0.32118656163850023,0.5593944352406722,0.43046357615894043,0.43046357615894043,0.43046357615894043,0.0005
16,0.31960869062016584,0.5554657372144552,0.43356643356643354,0.43356643356643354,0.43356643356643354,0.0005
17,0.3053141194477416,0.5633578162926894,0.4295774647887323,0.4295774647887323,0.4295774647887323,0.0005
18,0.29838407344636864,0.5480361844484622,0.46494464944649444,0.46494464944649444,0.46494464944649444,0.0005
19,0.3040022798623258,0.558566499214906,0.460431654676259,0.460431654676259,0.460431654676259,0.0005
20,0.29709875082586246,0.5707226441456721,0.4452296819787986,0.4452296819787986,0.4452296819787986,5.000000000000001e-05
21,0.29089847446707956,0.5592523870559839,0.44927536231884063,0.44927536231884063,0.44927536231884063,5.000000000000001e-05
22,0.2775109078277621,0.5534798548771784,0.45588235294117657,0.45588235294117657,0.45588235294117657,5.000000000000001e-05
23,0.2831315082764765,0.5609588061387722,0.4569288389513109,0.4569288389513109,0.4569288389513109,5.000000000000001e-05
